opcod,species,nind,biomass
71,EPI,1,0.399114253392897
71,EPT,7,3.8266019810819163
71,GAR,4,156.9201266719414
71,GOU,31,518.2311809121546
71,LOF,54,294.1985838167371
71,TAC,1,427.6586275059828
75,EPT,1,0.4770085619580468
75,GAR,1,86.85700949392786
75,GOU,13,329.61965349156134
75,LOF,20,100.88170492076925
75,TRF,3,656.8361775581373
78,GOU,10,217.12522110845444
78,LOF,21,83.55413166835706
78,TRF,1,193.48449191113266
83,EPT,23,10.016763388131656
83,GAR,2,22.0710647200687
83,GOU,24,232.51142610533935
83,LOF,162,640.5753661091888
83,TRF,6,2354.4223763621844
83,VAI,1,0.21728623029666846
409,CHA,450,1075.32701960405
409,EPI,7,13.5257546744558
409,GOU,1,32.51875509956294
409,LOF,49,710.0604312303359
409,TAC,2,528.4300031167207
409,TRF,2,776.3914810433498
410,EPI,45,49.29650400294966
410,GAR,1,2.2038742999758774
410,GOU,77,1946.0288513033604
410,LOF,54,683.3427546589847
410,TRF,2,701.0194504081439
411,ANG,17,4755.942003565549
411,EPI,5,2.4541203239121883
411,GAR,15,154.62643295187132
411,GOU,10,76.29233333518906
411,LOF,45,296.2168146039542
411,LOR,5,25.053495130942512
411,PER,2,68.80074697616666
418,ANG,1,629.9625629431303
418,CHA,524,1465.994868876115
418,EPI,4,4.211183586658772
418,LOF,30,470.990305222286
418,TAC,2,570.0977045030947
418,TRF,1,468.14578620259306
419,EPI,312,252.4416742828184
419,GOU,40,628.0600832755116
419,LOF,185,1128.2464680631676
419,TRF,4,1994.5400628677987
567,CHA,1,1.4925800537273954
567,CHE,3,339.96107250323297
567,GAR,1,74.05089929111901
567,GOU,1,42.480320445239236
567,LOF,8,45.20792318918325
567,VAI,2,3.8578569993672396
579,BRO,1,257.1465700861226
579,CHA,28,224.4150075552775
579,CHE,17,2133.9390353468775
579,GAR,7,569.5446671697002
579,GOU,20,521.8085945540463
579,LOF,188,995.7438863194791
579,TRF,1,108.72375995713094
579,VAI,30,90.71850595821108
588,ANG,1,2890.325930561266
588,BRO,1,489.3187505014819
588,CHA,20,113.22587490032855
588,CHE,20,2825.438875994219
588,EPT,1,0.4770085619580468
588,GAR,7,513.0139579052658
588,GOU,5,57.553174292967014
588,LOF,83,591.1007157894437
588,TRF,1,18.00145907047858
588,VAI,24,86.50683135536525
588,VAN,1,1.8762856159133516
596,ANG,3,13180.447426226256
596,CHA,18,85.29067841397575
596,CHE,7,773.2683555342749
596,GOU,8,172.26803749990262
596,LOF,62,456.41981972761283
596,TRF,9,189.15870555345168
596,VAI,8,35.80138888790732
879,ABL,1,17.535350710140243
879,CAS,6,270.31954758727517
879,CCO,7,2072.6301742698283
879,CHE,1,104.08547937541884
879,EPI,147,275.30947666416114
879,GAR,57,1651.9284098967296
879,GOU,3,69.08131866167186
879,LOF,1,9.518694673821363
879,ROT,6,230.39441704141777
879,TAC,3,1044.6453303513354
888,BRO,1,313.9606938154867
888,CAS,1,31.82496598203676
888,EPI,368,992.7920955658867
888,GAR,102,3550.0022163549734
888,GOU,8,216.07423782019933
888,ROT,1,27.86939487605001
888,TAC,1,77.7496214630087
888,TAN,19,2192.957410138282
963,ANG,1,371.4334207266075
963,BRO,1,1515.3337963776476
963,CAS,5,259.6034890167071
963,CCO,3,4793.181815695508
963,EPI,195,414.7068580394026
963,GAR,68,1625.283060717733
963,GOU,117,2553.43568124402
963,PER,24,236.13331886123885
963,ROT,16,273.8549256129416
963,TAN,27,982.2280810274808
980,ANG,3,870.0858516675976
980,CAS,5,54.59908251843828
980,CHE,1,283.1126258971581
980,EPI,633,1216.3229253066877
980,GAR,217,4096.581351593995
980,GOU,67,1273.0755858913483
980,LOF,5,43.52933980419983
980,PER,5,282.5792703398879
980,PES,4,46.84591377370391
980,ROT,17,228.55753959838125
980,TAN,29,1129.4157505786068
983,BRO,3,78.72717250726977
983,CAS,4,20.69923831308733
983,CCO,1,1506.1877570262052
983,EPI,363,587.9346218765409
983,GAR,30,694.669136674176
983,GOU,26,449.7467293127763
983,LOF,32,261.30122537090904
983,PER,2,21.558079570871584
983,ROT,10,281.9663085748886
983,TAN,13,2452.679367938346
1082,ANG,1,1599.3283421814874
1082,CHA,357,871.2864027305931
1082,EPI,16,13.369005077313961
1082,TRF,156,21160.581165605254
1133,CHA,8,39.89520539405328
1135,ANG,93,29679.99310964316
1135,CHA,203,362.804564958785
1135,GAR,21,26.184071883206357
1135,TRF,12,2077.6511938576123
1135,VAI,365,1604.5645837432583
1238,CHA,1,25.42426212573601
1238,EPI,2,7.633553120049945
1238,GAR,1,23.127183789785445
1238,LOF,42,496.04348532614165
1294,CHA,1,2.9697871322698157
1294,EPI,26,31.176155572069217
1294,GAR,13,504.9999464631299
1294,GOU,4,76.78518714132755
1294,LOF,1284,6461.184419820939
1294,VAI,139,498.6461157583152
1298,CHA,1,12.191538667554916
1298,EPI,8,12.40085980181599
1298,EPT,2,2.3826198392517544
1298,GOU,1,31.14116422211141
1298,LOF,1261,9378.68832115976
1298,PER,1,26.62802840484879
1298,VAI,158,584.6811722587051
1310,CHE,1,162.94463373299592
1310,EPT,17,15.63659073978587
1310,GAR,3,237.94682541763282
1310,GOU,6,73.80409434138116
1310,LOF,898,5748.357772463951
1310,ROT,1,10.469317116652434
1310,VAI,155,690.0508118603882
1316,CHA,2,4.666685577695905
1316,EPI,8,12.783530946256258
1316,EPT,44,39.21256516051976
1316,GAR,2,360.7307647088609
1316,GOU,9,87.81338680938309
1316,LOF,818,3891.60100860559
1316,PER,2,298.0200390786496
1316,TRF,3,21.613267465666652
1316,VAI,282,855.5425901151616
1421,ANG,2,4139.021323943276
1421,BRO,1,125.18166477749529
1421,CHA,85,263.6023582968601
1421,CHE,27,1935.2652961738852
1421,EPT,9,4.533373566416015
1421,GAR,1,74.05089929111901
1421,GOU,8,209.48716144716454
1421,LOF,137,661.808117128108
1421,TRF,8,120.45361113823992
1421,VAI,12,38.774289279031095
1442,EPT,39,14.547267899489636
1442,GAR,1,9.828845852951789
1442,GOU,34,503.8468629321474
1442,LOF,187,763.7478475084883
1442,TRF,4,982.7037435112998
1446,EPI,124,168.47400137942392
1446,GOU,148,1680.2199056806471
1446,LOF,188,1815.0871679681156
1452,ANG,119,38795.39195080802
1452,CHA,307,560.3937060618306
1452,TAC,2,508.7483448664842
1452,TRF,42,1162.8477212110772
1452,VAI,277,1560.9197552319442
1462,CHA,418,728.4921508596781
1462,EPI,36,34.04496678652358
1462,LOF,34,483.46851861440354
1462,TAC,2,619.3073879443654
1462,TAN,1,23.127183789785445
1472,ANG,15,6525.7094358014565
1472,EPI,24,5.105276763643546
1472,GOU,5,28.466745767854526
1472,LOF,133,115.42006839251091
1472,LOR,45,192.83103501549473
1472,PER,1,31.82496598203676
1491,CHA,72,307.8280386538264
1491,TRF,5,1796.7747419402938
1495,CAS,11,377.85582758650776
1495,CCO,2,3064.065098708894
1495,CHE,1,5.839325175900403
1495,EPI,147,300.7686361283565
1495,GAR,25,841.3851052284405
1495,GOU,5,41.56233156775215
1495,LOF,1,6.5283979524268
1495,ROT,1,24.836295717629433
1495,TAN,4,3467.939813440624
1521,BRB,1,16.185667283686378
1521,BRE,12,731.6328765838924
1521,BRO,1,4085.2059700631335
1521,EPI,8,2.1381917090601874
1521,GAR,167,4207.697710050608
1521,GOU,23,298.11606501025136
1521,PER,13,380.06698815008684
1521,ROT,10,842.3878311996522
1523,ANG,10,5604.574839444205
1523,BOU,1,0.8287916174806996
1523,BRO,1,9.828845852951789
1523,CAS,1,16.185667283686378
1523,EPI,5,3.6723260885440623
1523,GOU,18,285.0229096310971
1523,LOF,42,281.98814462245053
1523,LOR,25,125.40620784438208
1523,PCH,1,1.8762856159133516
1523,PER,3,86.06959525762069
1526,ANG,1,6022.9614934764495
1526,CHA,209,495.3027581861658
1526,EPI,20,12.469630565328979
1526,PER,2,136.3030851969431
1526,TAC,1,292.143182922583
1526,TRF,105,15061.804089621633
1527,CAS,1,24.25750938253339
1527,CHA,18,61.41194582451879
1527,EPI,15,19.979711649011907
1527,EPT,1,1.091833034029151
1527,GAR,1,1.5830335938842925
1527,GOU,35,628.2956038420577
1527,LOF,495,3673.444380167521
1527,PER,1,34.660781538351365
1527,TRF,8,305.0042097930647
1527,VAI,334,821.7834111070215
1533,ABL,3,16.258404280072487
1533,ANG,30,11797.99122640337
1533,CAS,1,888.0662181496709
1533,CHE,1,232.82639052518468
1533,GAR,35,2340.679134887093
1533,GOU,2,28.195479670160935
1533,PES,1,25.42426212573601
1534,ABL,12,166.15723598534598
1534,ANG,48,22865.363444683644
1534,BAF,1,3.568633972156637
1534,CHE,3,893.6842672711517
1534,GAR,40,3095.984678061555
1534,GOU,2,21.000230888790185
1534,ROT,1,1.8762856159133516
1534,SIL,1,47.6961744843328
1552,ABL,121,400.0524863153317
1552,ANG,40,24465.290858834724
1552,BRE,3,10.581982274223794
1552,CHE,6,37.79193753566803
1552,GAR,78,2849.086745578415
1552,GOU,2,15.360429505935771
1552,GRE,3,37.18873190038178
1552,PER,7,203.30867606664242
1552,ROT,3,14.033607978670755
1552,SIL,2,585.1727726163015
1552,VAN,4,24.262116462693946
1572,CHA,138,420.8450733972901
1572,CHE,1,3.8962522066025334
1572,GOU,2,14.741540153022587
1572,LOF,13,147.05567818993893
1572,TRF,94,3855.719164443303
1572,VAI,43,136.62504778982785
1586,ANG,125,38323.05419607302
1586,CCO,1,1169.9201740583833
1586,CHA,136,301.50216751580246
1586,GAR,1,33.22260506094248
1586,PER,4,237.44155442252148
1586,TAC,3,852.6642378615747
1586,TRF,6,361.8302631532316
1586,VAI,169,1111.594831024847
1588,BRE,1,524.5143293790721
1588,BRO,1,693.0494512783283
1588,CAS,25,1338.257823098995
1588,CCO,7,8542.773391295515
1588,CHE,1,80.28296638056509
1588,EPI,338,647.6730025097738
1588,GAR,88,2716.172428683311
1588,GOU,29,329.11018468099803
1588,LOF,38,226.16324402464136
1588,PER,5,301.37210187474795
1588,PES,3,22.379457196619057
1588,ROT,38,630.7861452420974
1588,TAN,7,1798.1224242108694
1589,EPT,40,21.444066064467005
1589,GAR,1,62.57563818691811
1589,GOU,44,803.3125619959068
1589,LOF,205,1040.7707643157225
1589,TRF,6,1967.4148596085097
1604,ANG,4,7125.9473596514545
1604,CHA,108,412.42882999927053
1604,CHE,35,3514.625311216275
1604,EPT,55,27.72482168726711
1604,GOU,19,403.179345589519
1604,LOF,245,798.528430323856
1604,TAN,3,8.14790825083283
1604,VAI,52,174.12639414847993
1615,EPI,68,88.14385468606437
1615,GAR,3,18.632515077329604
1615,GOU,139,3013.6343395774047
1615,LOF,210,2545.829053706483
1615,TRF,1,333.50853935512816
1616,CHA,502,1136.7806649133227
1616,EPI,45,32.627354943819306
1616,GAR,3,9.541650601061146
1616,GOU,1,43.3216555991067
1616,LOF,204,702.6475568629263
1616,TRF,2,64.36376928305388
1638,ABL,38,475.2361502983236
1638,ANG,115,41694.6631966435
1638,BRB,1,40.83062910787262
1638,BRE,5,4036.2094814892353
1638,CHE,66,961.4988028893523
1638,GAR,24,2411.980046214837
1638,GOU,4,43.04995119378809
1638,GRE,18,182.1861691512613
1638,PER,10,353.60725839551935
1638,PES,6,17.951509041732134
1638,ROT,2,8.313390808647581
1638,SIL,2,25.398011323332657
1640,ABL,4,33.94391064820562
1640,ANG,54,26339.006790428382
1640,BRE,6,5452.7034273981935
1640,CHE,1,59.381504140513236
1640,GAR,75,4450.163398133074
1640,GRE,2,16.13802205409284
1640,HOT,1,0.21728623029666846
1640,PER,95,333.17780126335083
1640,SAN,3,2.1979629474423037
1650,CHA,59,236.95572437304986
1650,EPI,3,4.063586602039027
1650,EPT,9,9.6539392743776
1650,GOU,83,1884.8833290054515
1650,LOF,536,3558.3604803242665
1650,TRF,11,1605.1139822508392
